Open,High,Low,Close,Volume,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,EMA_9,EMA_21,EMA_50,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,ATRr_14,ADX_14,DMP_14,DMN_14,returns,vol_ratio,target
103531.7265625,103872.421875,103508.1015625,103806.5546875,3264512,52.492388043932905,-120.07393790573406,45.04033738064476,-165.1142752863788,103578.12174215449,103655.06559855168,103889.6603742174,103147.92147361717,103603.665234375,104059.40899513284,0.8797830843664389,0.7225915861005129,429.5078125,31.634021370128156,0.0,0.0,0.0025857600220930976,0.014858356240742656,0
103805.2734375,103805.2734375,103010.8359375,103062.6875,0,37.60170360655967,-152.7132989331003,9.920781082622796,-162.6340800157231,103475.0348937236,103601.2130441379,103857.23006542458,103064.81106007031,103563.934375,104063.05768992969,0.9638940774930164,-0.0021272899970688785,459.8716517857143,32.561152545656206,0.0,0.0,-0.0071658980469907485,0.0,0
103060.671875,103212.9609375,102943.4140625,103073.8359375,0,37.88609108800993,-175.65579134561995,-10.417369063917448,-165.2384222817025,103394.79510247888,103553.26967080717,103826.5087270746,102994.30111887236,103529.546484375,104064.79184987763,1.033995383305217,0.07429753133214892,460.0904017857143,34.66275860558118,0.0,0.0,0.00010817142236851929,0.0,0
103064.3046875,103101.2890625,102769.4375,102780.8125,214183936,33.557024851907016,-215.0039921948046,-39.81245593048169,-175.1915362643229,103271.99858198312,103483.04629164288,103785.50103189521,102862.26263005471,103479.81875,104097.3748699453,1.1935778925884388,-0.06594552901680255,436.56808035714283,36.25405224618704,0.0,0.0,-0.0028428498351189546,1.1056816019284037,0
102757.2421875,102940.0234375,102726.8359375,102903.890625,0,36.82245482386008,-233.56396873253107,-46.69794597456652,-186.86602275796454,103198.3769905865,103430.39577649353,103750.92807476208,102781.78677051158,103450.87265625,104119.95854198841,1.293533575036484,0.09124677196983857,382.6713169642857,36.11502159031859,0.0,0.0,0.0011974815338222644,0.0,0
102897.1953125,102897.1953125,102383.0625,102388.453125,550174720,30.14153206244447,-286.56108460985706,-79.756049481514,-206.80503512834306,103036.39221746921,103335.67371726685,103697.49768457533,102575.95014831454,103395.86953125,104215.78891418547,1.5859809229374546,-0.11433869427703322,376.20089285714283,36.438090899826015,0.0,0.0,-0.005008921401022048,3.0199573042069634,0
102408.09375,102656.71875,102198.4453125,102233.9375,0,28.47371315539948,-337.14342087147816,-104.27070859450805,-232.8727122769701,102875.90127397538,103235.5158793335,103640.10316753316,102368.3818558598,103319.95234375,104271.5228316402,1.8419878567583667,-0.07064340349493498,382.05859375,38.16655505156768,0.0,0.0,-0.0015091118215386778,0.0,0
102287.8828125,102424.5625,101752.96875,101819.8515625,1181728768,24.55279894877016,-405.96386257649283,-138.47292023961813,-267.4909423368747,102664.69133168031,103106.81912325772,103568.72075164951,102093.55547019654,103215.083203125,104336.61093605346,2.1731857362771607,-0.12202279964217534,375.10323660714283,38.89269180032882,0.0,0.0,-0.0040503764955741595,5.421462382483431,0
101956.3515625,102325.1328125,101913.78125,102325.1328125,0,36.113399544383185,-414.94930707385356,-117.96669178958308,-296.9826152842705,102596.77962784425,103035.75673137065,103519.95259717306,102007.74623077713,103130.779296875,104253.81236297287,2.1778814700218105,0.14130776345956986,385.24441964285717,39.64623044747414,0.0,0.0,0.004962502323919038,0.0,0
102260.21875,102260.21875,101548.4921875,101898.3359375,0,31.695573510065174,-451.3068925681,-123.45942182706358,-327.84747074103643,102457.09088977541,102932.35484101878,103456.35978698981,101838.60844929863,103032.11875,104225.62905070136,2.3167732842558237,0.025021773237430194,410.42801339285717,42.582425130722136,0.0,0.0,-0.004170987745327981,0.0,0
101832.5234375,101928.2421875,101643.90625,101754.7109375,444653568,30.350044505804192,-486.10634681493684,-126.60710085912035,-359.4992459558165,102316.61489932034,102825.29630433525,103389.62845955884,101640.33621190487,102956.046875,104271.75753809513,2.555868650808921,0.043464999107809696,405.20982142857144,45.5599781154736,0.0,0.0,-0.001409493086207969,2.5380533828671226,1
101825.0625,102435.7578125,101808.390625,102374.3203125,404975616,41.82395073553886,-458.40367453750514,-79.12354286535094,-379.2801316721542,102328.15598195627,102784.29848689568,103349.81245379182,101585.20964235041,102900.328125,104215.44660764959,2.556101630797571,0.30001504828665915,441.4296875,46.742162233639434,0.0,0.0,0.006089245100215246,2.2432113876936586,1
102395.5625,102801.109375,102308.5078125,102535.328125,0,44.38769669258033,-418.6314001088904,-31.48101474938892,-387.15038535950146,102369.59041056503,102761.66481763244,103317.87189187841,101553.7871912683,102857.863671875,104161.94015248171,2.5356864979556883,0.37633564761287963,465.0345982142857,46.60073290809713,0.0,0.0,0.0015727363269277816,0.0,1
